@TYPE	xy	xy	xy
@	subtitle	subtitle	subtitle
21,6000004	0,1962071	0,1438455	0,1917416
21,6400013	0,1851716	0,1388386	0,1868667
21,6800003	0,1614152	0,1347143	0,1975046
21,7200012	0,1936092	0,1477507	0,1978439
21,7600002	0,1773078	0,1459898	0,1937402
21,8000011	0,17134	0,1409785	0,1905092
21,8400002	0,1472782	0,1461102	0,1894374
21,8800011	0,1600471	0,1559705	0,1980637
21,920002	0,1693635	0,1502722	0,1902045
21,960001	0,1779552	0,1515105	0,1851784
22,0000019	0,1808098	0,1526849	0,1952674
22,0400009	0,1940998	0,1452467	0,1867535
22,0800018	0,1421199	0,1445395	0,1892877
22,1200008	0,1488438	0,1471611	0,1770146
22,1600018	0,1444189	0,1484494	0,1762968
22,2000008	0,1916173	0,1566228	0,1794943
22,2400017	0,1682331	0,1574454	0,2002366
22,2800007	0,168802	0,1675036	0,1887343
22,3200016	0,1367139	0,1570913	0,1958336
22,3600006	0,1907322	0,1601976	0,1845904
22,4000015	0,1742044	0,1672243	0,198341
22,4400005	0,1443872	0,1641317	0,1954231
22,4800014	0,1635393	0,1522471	0,1916851
22,5200005	0,1630657	0,1677119	0,1817304
22,5600014	0,1738013	0,1715736	0,1819455
22,6000004	0,157252	0,1609056	0,1868963
22,6400013	0,1746445	0,1528723	0,1948588
22,6800003	0,1784483	0,1541284	0,1895794
22,7200012	0,1861423	0,1625301	0,1947515
22,7600002	0,1498705	0,1427797	0,1953737
22,8000011	0,1882992	0,1536092	0,1922501
22,8400002	0,1872318	0,1575707	0,1967998
22,8800011	0,2067962	0,1562094	0,1886023
22,920002	0,1874587	0,1570935	0,1929414
22,960001	0,2271108	0,1610659	0,1955419
23,0000019	0,2182796	0,173064	0,2097843
23,0400009	0,1995405	0,1592914	0,1897958
23,0800018	0,1936829	0,1770648	0,2060403
23,1200008	0,1878427	0,1526504	0,1930874
23,1600018	0,1855932	0,1608471	0,1795661
23,2000008	0,1839498	0,1447128	0,1887187
23,2400017	0,1796931	0,1583074	0,1971186
23,2800007	0,1639874	0,1565369	0,1804358
23,3200016	0,1772466	0,1615456	0,1855019
23,3600006	0,1995308	0,1669154	0,1873063
23,4000015	0,1620381	0,167969	0,1841114
23,4400005	0,1558274	0,1717521	0,1956398
23,4800014	0,1652874	0,1708051	0,1896225
